Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Gender,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6913bbc41cedb1a04495f711,61015f63f9a351d3171a0f98,AWAITING REVIEW,Not Applicable,2025-11-11T22:42:14.343000Z,2025-11-11T22:57:56.169000Z,,2025-11-11T22:57:56.585883Z,942.0,CURFFCKX,4128,Man (including Trans Male/Trans Man),45,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6913bbc5d887d1699d309def,5c4f5967aac8be0001716a65,AWAITING REVIEW,Not Applicable,2025-11-11T22:42:15.227000Z,2025-11-11T22:54:28.862000Z,,2025-11-11T22:54:29.275154Z,734.0,CURFFCKX,8791,Man (including Trans Male/Trans Man),34,Male,White,Ireland,United Kingdom,Ireland,English,Yes,Full-Time
6913bbc69e9872edef45d1a7,58954e2dc88c680001dd4b7e,AWAITING REVIEW,Not Applicable,2025-11-11T22:42:18.268000Z,2025-11-11T22:55:33.972000Z,,2025-11-11T22:55:34.380926Z,796.0,CURFFCKX,5939,Man (including Trans Male/Trans Man),60,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6913bbcb9833fdca1e6fe33d,5f668a416b792f26ef5ea974,AWAITING REVIEW,Not Applicable,2025-11-11T22:42:31.521000Z,2025-11-11T22:56:07.848000Z,,2025-11-11T22:56:08.240766Z,817.0,CURFFCKX,2159,Man (including Trans Male/Trans Man),41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6913bbd00617235357865098,64136457f1327294ffb3fef9,AWAITING REVIEW,Not Applicable,2025-11-11T22:42:24.303000Z,2025-11-11T22:54:37.384000Z,,2025-11-11T22:54:37.760378Z,734.0,CURFFCKX,2571,Man (including Trans Male/Trans Man),34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
6913bbd2b9804279e8a5fc45,5bb756696322c5000159756c,AWAITING REVIEW,Not Applicable,2025-11-11T22:42:34.394000Z,2025-11-11T22:56:26.838000Z,,2025-11-11T22:56:27.216043Z,833.0,CURFFCKX,6420,Man (including Trans Male/Trans Man),43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6913bbd657ffed77b04aac3b,63f77f79278126e103659cf4,AWAITING REVIEW,Not Applicable,2025-11-11T22:42:40.387000Z,2025-11-11T22:53:52.441000Z,,2025-11-11T22:53:52.837496Z,673.0,CURFFCKX,2402,Man (including Trans Male/Trans Man),29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6913bbd6c3afeb4f95fab7f2,602c0fc2eff74b4748e9b41e,AWAITING REVIEW,Not Applicable,2025-11-11T22:42:53.354000Z,2025-11-11T22:52:28.156000Z,,2025-11-11T22:52:28.533304Z,575.0,CURFFCKX,2000,Man (including Trans Male/Trans Man),35,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6913bbdc7577edee3ddd2781,6704539fe462b87182866f14,AWAITING REVIEW,Not Applicable,2025-11-11T22:42:58.871000Z,2025-11-11T22:57:00.452000Z,,2025-11-11T22:57:00.892015Z,842.0,CURFFCKX,3793,Man (including Trans Male/Trans Man),43,Male,White,Spain,United Kingdom,United Kingdom,English,Yes,Full-Time
6913bbdfcb71f5e54763b7ff,667987c18f34110073ae20b7,AWAITING REVIEW,Not Applicable,2025-11-11T22:42:43.975000Z,2025-11-11T22:53:17.158000Z,,2025-11-11T22:53:17.533883Z,634.0,CURFFCKX,1271,Man (including Trans Male/Trans Man),45,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6913bbe4bbd29cc014b6a7c7,6053e01a6a8e8516ba7d47a7,AWAITING REVIEW,Not Applicable,2025-11-11T22:42:44.238000Z,2025-11-11T23:00:13.874000Z,,2025-11-11T23:00:14.271299Z,1050.0,CURFFCKX,6225,Man (including Trans Male/Trans Man),59,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6913bbeddcf141d2ad5b58a9,6614fb6af3c5aa23b962ea2d,AWAITING REVIEW,Not Applicable,2025-11-11T22:43:26.772000Z,2025-11-11T22:59:55.523000Z,,2025-11-11T22:59:55.951664Z,989.0,CURFFCKX,1561,Man (including Trans Male/Trans Man),57,Male,Asian,India,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6913bbf4537596ae6c23107b,5be1b59a8425f6000141b942,AWAITING REVIEW,Not Applicable,2025-11-11T22:43:05.008000Z,2025-11-11T23:01:25.320000Z,,2025-11-11T23:01:25.728155Z,1101.0,CURFFCKX,4053,Man (including Trans Male/Trans Man),59,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6913bc0cb96c5e18abbbec24,6786682cfe5424ad10237085,AWAITING REVIEW,Not Applicable,2025-11-11T22:44:01.138000Z,2025-11-11T23:10:41.294000Z,,2025-11-11T23:10:41.728802Z,1601.0,CURFFCKX,2216,Man (including Trans Male/Trans Man),65,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6913bc5448be98e1b66dd886,5aead25562ac0e00010974b1,AWAITING REVIEW,Not Applicable,2025-11-11T22:46:44.170000Z,2025-11-11T23:02:46.616000Z,,2025-11-11T23:02:46.989986Z,963.0,CURFFCKX,2448,Man (including Trans Male/Trans Man),61,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6913bc5546ec5faafc832cc7,66d8b1917c364ec10c95a0c6,AWAITING REVIEW,Not Applicable,2025-11-11T22:44:37.548000Z,2025-11-11T23:07:33.762000Z,,2025-11-11T23:07:34.116195Z,1377.0,CURFFCKX,1136,Man (including Trans Male/Trans Man),56,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6913bc56c7145fada6def97c,5aad8499e1546900019aef29,AWAITING REVIEW,Not Applicable,2025-11-11T22:44:41.596000Z,2025-11-11T22:59:24.469000Z,,2025-11-11T22:59:24.865756Z,883.0,CURFFCKX,2112,Man (including Trans Male/Trans Man),25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6913bc5af88d1a0c95e86e17,62a12aee913c1c1a20613418,AWAITING REVIEW,Not Applicable,2025-11-11T22:44:45.791000Z,2025-11-11T22:57:31.204000Z,,2025-11-11T22:57:31.639597Z,766.0,CURFFCKX,2308,Man (including Trans Male/Trans Man),28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
6913bc5ea2865690aa14a55b,67f8c966e81fca013fa2407a,AWAITING REVIEW,Not Applicable,2025-11-11T22:45:23.340000Z,2025-11-11T23:14:40.975000Z,,2025-11-11T23:14:41.380493Z,1758.0,CURFFCKX,339,Man (including Trans Male/Trans Man),54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
6913bc614d6ecd93b57b21ee,5f53b958c8cfea6e2104c5b6,AWAITING REVIEW,Not Applicable,2025-11-11T22:44:49.611000Z,2025-11-11T23:23:19.633000Z,,2025-11-11T23:23:20.038015Z,2311.0,CURFFCKX,3501,Man (including Trans Male/Trans Man),69,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6913bc641a287f4d1c0a70a8,6734cb8c5c6a67e3eaf34c6c,AWAITING REVIEW,Not Applicable,2025-11-11T22:44:57.147000Z,2025-11-11T22:58:00.742000Z,,2025-11-11T22:58:01.187569Z,784.0,CURFFCKX,1159,Man (including Trans Male/Trans Man),42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6913bce35dfecc90d1ef518a,5b47e287bc06c90001f8b67d,AWAITING REVIEW,Not Applicable,2025-11-11T22:46:59.485000Z,2025-11-11T23:01:31.517000Z,,2025-11-11T23:01:31.908874Z,873.0,CURFFCKX,4136,Man (including Trans Male/Trans Man),41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6913bcf9d84a1e95d169347a,5c4afb7234ee9300011cbbfc,AWAITING REVIEW,Not Applicable,2025-11-11T22:47:37.293000Z,2025-11-11T23:05:51.259000Z,,2025-11-11T23:05:51.621914Z,1094.0,CURFFCKX,3049,Man (including Trans Male/Trans Man),74,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6913bcfd72fdd737ef254356,60314f566c0b9306e3956ebc,AWAITING REVIEW,Not Applicable,2025-11-11T22:47:29.202000Z,2025-11-11T22:59:26.433000Z,,2025-11-11T22:59:26.860543Z,718.0,CURFFCKX,1702,Man (including Trans Male/Trans Man),55,Male,White,Australia,United Kingdom,United Kingdom,English,No,Full-Time
6913bd4e749c66f3416b940c,64135747b6349f88a7b44287,AWAITING REVIEW,Not Applicable,2025-11-11T22:48:52.544000Z,2025-11-11T22:59:34.842000Z,,2025-11-11T22:59:35.257950Z,643.0,CURFFCKX,426,Man (including Trans Male/Trans Man),20,Male,Asian,India,United Kingdom,United Kingdom,English,Yes,Full-Time
6913bdca8604ed01b3fe356f,5f15a3a5545a2058865b1901,AWAITING REVIEW,Not Applicable,2025-11-11T22:52:48.062000Z,2025-11-11T23:13:27.393000Z,,2025-11-11T23:13:27.760475Z,1240.0,CURFFCKX,2116,Man (including Trans Male/Trans Man),34,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6913bdd3a57cbc0096b11015,6762a1453b3bc252b8ea3bb8,AWAITING REVIEW,Not Applicable,2025-11-11T22:51:02.868000Z,2025-11-11T23:03:10.552000Z,,2025-11-11T23:03:10.942443Z,728.0,CURFFCKX,1792,Man (including Trans Male/Trans Man),50,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6913bdd5537b4c066d3e7927,651ac88823e71c05dbc1ff63,AWAITING REVIEW,Not Applicable,2025-11-11T22:51:13.257000Z,2025-11-11T23:03:22.062000Z,,2025-11-11T23:03:22.438448Z,729.0,CURFFCKX,4287,Man (including Trans Male/Trans Man),56,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6913bde7b7f16de976996599,6765a57c0caf6c253ee85886,AWAITING REVIEW,Not Applicable,2025-11-11T22:51:23.162000Z,2025-11-11T23:03:39.326000Z,,2025-11-11T23:03:39.728305Z,737.0,CURFFCKX,680,Man (including Trans Male/Trans Man),29,Male,Asian,India,United Kingdom,United Kingdom,English,No,Part-Time
6913bdfcfdc25789cf8f6649,5a8367b9190420000155ec2a,AWAITING REVIEW,Not Applicable,2025-11-11T22:52:04.444000Z,2025-11-11T23:04:08.570000Z,,2025-11-11T23:04:08.963468Z,725.0,CURFFCKX,5043,Man (including Trans Male/Trans Man),39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6913be3c91053c39bb30d764,66bbafb05de7e549455aa4ff,AWAITING REVIEW,Not Applicable,2025-11-11T22:57:55.091000Z,2025-11-11T23:13:31.093000Z,,2025-11-11T23:13:31.615897Z,937.0,CURFFCKX,4117,Man (including Trans Male/Trans Man),46,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6913be40be2998bc1cdcbfef,672927169fb7b4f8de25c785,AWAITING REVIEW,Not Applicable,2025-11-11T22:52:57.351000Z,2025-11-11T23:12:33.750000Z,,2025-11-11T23:12:34.139681Z,1177.0,CURFFCKX,132,Man (including Trans Male/Trans Man),42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6913be6fa7a2a9ae703b6f46,6697e1dad78000e89307e462,AWAITING REVIEW,Not Applicable,2025-11-11T22:57:18.866000Z,2025-11-11T23:23:36.769000Z,,2025-11-11T23:23:37.168004Z,1578.0,CURFFCKX,294,Man (including Trans Male/Trans Man),25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6913be87621d1567bcbe1048,6682504bc0252a33b4c4406e,AWAITING REVIEW,Not Applicable,2025-11-11T22:54:17.231000Z,2025-11-11T23:05:54.325000Z,,2025-11-11T23:05:54.698859Z,698.0,CURFFCKX,1080,Man (including Trans Male/Trans Man),40,Male,White,Italy,United Kingdom,Italy,English,Yes,Full-Time
6913c0433a7a38792f727656,677b8e386966144d94556597,AWAITING REVIEW,Not Applicable,2025-11-11T23:04:17.501000Z,2025-11-11T23:19:15.938000Z,,2025-11-11T23:19:16.323998Z,899.0,CURFFCKX,2510,Man (including Trans Male/Trans Man),52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
6913c125d9b52edfe3c7ea16,660453c9877e571d12b555f7,AWAITING REVIEW,Not Applicable,2025-11-11T23:05:13.694000Z,2025-11-11T23:20:47.561000Z,,2025-11-11T23:20:47.970131Z,934.0,CURFFCKX,3522,Man (including Trans Male/Trans Man),40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
6913c28bbeabd74d7e14ee5a,5f514593ea1e87365b9cb05f,AWAITING REVIEW,Not Applicable,2025-11-11T23:11:11.960000Z,2025-11-11T23:24:40.245000Z,,2025-11-11T23:24:40.629603Z,809.0,CURFFCKX,6711,Man (including Trans Male/Trans Man),55,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6913c46167c0ba64f7d4e792,667c2175b570aa694ce2f63c,AWAITING REVIEW,Not Applicable,2025-11-11T23:19:39.596000Z,2025-11-11T23:31:06.145000Z,,2025-11-11T23:31:06.549468Z,687.0,CURFFCKX,1361,Man (including Trans Male/Trans Man),44,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6913c5581425424d064efad3,60a9610cae689e66af400f01,AWAITING REVIEW,Not Applicable,2025-11-11T23:23:13.506000Z,2025-11-11T23:36:22.509000Z,,2025-11-11T23:36:22.894272Z,790.0,CURFFCKX,1341,Man (including Trans Male/Trans Man),26,Male,Asian,United Kingdom,United Kingdom,United Kingdom,Bengali,DATA_EXPIRED,Full-Time
6913c8333b52bc981d510420,6718b63a1e293387ef30d259,AWAITING REVIEW,Not Applicable,2025-11-11T23:35:15.328000Z,2025-11-11T23:50:44.091000Z,,2025-11-11T23:50:44.684856Z,929.0,CURFFCKX,1774,Man (including Trans Male/Trans Man),52,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
